nohup: ignoring input
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'hvac', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'fridge', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'fridge', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'dr', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'dr', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'fridge', 'dr', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'fridge', 'dw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'dr', 'fridge', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'dr', 'dw', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'dw', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'hvac', 'dw', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'hvac', 'dr', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'hvac', 'dw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'dr', 'hvac', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'dr', 'dw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'dw', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'fridge', 'dw', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'hvac', 'fridge', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'hvac', 'dw', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'fridge', 'hvac', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'fridge', 'dw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'dw', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dr', 'dw', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'hvac', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'hvac', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'fridge', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'fridge', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'dr', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'dr', 'fridge', 'hvac']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'residual', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'dw', 'residual']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'mw', 'residual', 'dw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'residual', 'dw', 'mw']
5 4 RNN 50 2 True 0.01 3000 0.0 ['hvac', 'fridge', 'dr', 'residual', 'mw', 'dw']
